iter	Passed	Remaining
0	66	66192
1	67	33553
2	67	22592
3	68	17074
4	69	13782
5	69	11583
6	70	9971
7	70	8771
8	71	7861
9	72	7149
10	72	6552
11	73	6029
12	73	5612
13	74	5233
14	74	4920
15	75	4648
16	76	4397
17	76	4173
18	77	3983
19	77	3811
20	78	3654
21	78	3499
22	79	3359
23	79	3242
24	80	3142
25	81	3054
26	82	2970
27	82	2878
28	83	2802
29	84	2725
30	84	2652
31	85	2585
32	86	2522
33	86	2454
34	86	2397
35	87	2344
36	88	2293
37	88	2244
38	89	2198
39	89	2149
40	90	2106
41	90	2066
42	91	2025
43	91	1988
44	91	1951
45	92	1920
46	93	1892
47	93	1862
48	94	1833
49	95	1806
50	95	1779
51	96	1752
52	96	1727
53	97	1704
54	97	1677
55	98	1657
56	99	1639
57	99	1619
58	100	1602
59	101	1584
60	101	1566
61	102	1548
62	102	1531
63	103	1520
64	104	1504
65	104	1485
66	105	1470
67	106	1454
68	106	1439
69	107	1424
70	107	1409
71	108	1395
72	108	1382
73	109	1369
74	109	1355
75	110	1342
76	111	1330
77	111	1320
78	112	1308
79	112	1297
80	113	1287
81	114	1277
82	114	1267
83	115	1256
84	115	1246
85	116	1234
86	116	1224
87	117	1214
88	117	1205
89	118	1196
90	118	1187
91	119	1179
92	120	1170
93	120	1162
94	121	1154
95	121	1146
96	122	1138
97	122	1131
98	123	1123
99	124	1116
100	124	1110
101	125	1104
102	126	1097
103	126	1090
104	127	1084
105	127	1077
106	128	1070
107	128	1064
108	129	1057
109	130	1052
110	130	1046
111	131	1041
112	131	1035
113	132	1028
114	132	1022
115	133	1017
116	134	1011
117	134	1006
118	135	1001
119	135	995
120	136	990
121	136	985
122	137	980
123	138	975
124	138	970
125	139	965
126	139	961
127	140	957
128	141	952
129	141	948
130	142	944
131	142	939
132	143	935
133	144	930
134	144	926
135	145	921
136	145	917
137	146	914
138	146	910
139	147	907
140	148	903
141	148	899
142	149	895
143	149	891
144	150	887
145	151	883
146	151	879
147	152	875
148	152	872
149	153	868
150	153	865
151	154	861
152	155	858
153	155	854
154	156	851
155	156	848
156	157	846
157	158	844
158	158	840
159	159	837
160	160	834
161	160	830
162	161	827
163	161	824
164	162	822
165	163	819
166	163	817
167	164	814
168	165	811
169	165	808
170	166	808
171	167	805
172	167	802
173	168	799
174	169	796
175	169	794
176	170	791
177	170	788
178	171	785
179	171	782
180	172	780
181	172	777
182	173	774
183	174	772
184	174	770
185	175	768
186	176	765
187	176	762
188	177	760
189	177	758
190	178	756
191	179	755
192	180	754
193	181	756
194	182	755
195	183	753
196	184	750
197	184	748
198	185	746
199	186	744
200	186	742
201	187	740
202	188	738
203	188	735
204	189	733
205	189	732
206	190	730
207	191	727
208	191	725
209	192	723
210	192	721
211	193	719
212	194	717
213	195	717
214	196	717
215	197	715
216	197	714
217	198	712
218	199	710
219	199	708
220	200	706
221	201	705
222	201	703
223	202	701
224	203	699
225	203	697
226	204	695
227	204	693
228	205	692
229	206	690
230	206	688
231	207	686
232	207	684
233	208	682
234	209	680
235	209	679
236	210	678
237	211	677
238	212	676
239	213	676
240	214	674
241	214	673
242	215	671
243	215	669
244	216	667
245	217	665
246	217	663
247	218	661
248	218	659
249	219	658
250	219	656
251	220	654
252	221	653
253	221	651
254	222	649
255	223	648
256	223	646
257	224	644
258	224	642
259	225	641
260	225	639
261	226	637
262	227	636
263	227	635
264	228	634
265	229	633
266	230	633
267	231	632
268	232	630
269	232	629
270	233	627
271	233	625
272	234	624
273	234	622
274	235	621
275	236	619
276	236	618
277	237	616
278	238	615
279	238	613
280	239	611
281	239	610
282	240	608
283	240	607
284	241	605
285	241	603
286	242	602
287	243	601
288	244	601
289	245	600
290	246	599
291	246	597
292	247	596
293	247	594
294	248	593
295	248	591
296	249	590
297	249	588
298	250	587
299	250	585
300	251	584
301	252	582
302	252	581
303	253	580
304	254	578
305	255	579
306	255	577
307	256	576
308	257	574
309	257	573
310	258	571
311	258	570
312	259	569
313	260	569
314	261	568
315	261	566
316	262	565
317	262	563
318	263	562
319	264	561
320	264	559
321	265	558
322	265	557
323	266	555
324	267	554
325	267	553
326	268	552
327	268	551
328	269	549
329	270	548
